Manufacturer,Type,ID,Part Type,String,Model Name,Stats,Effects,Requirements
Daedalus,Assault Rifle,1,Body,DAD_AR.part_body,DAD_AR_Body,"No stat changes, always present",,
Daedalus,Assault Rifle,2,Body Accessory,DAD_AR.part_body_a,DAD_AR_Body_A,+Reload Speed,,
Daedalus,Assault Rifle,3,Body Accessory,DAD_AR.part_body_b,DAD_AR_Body_B,+Reload Speed,,
Daedalus,Assault Rifle,4,Body Accessory,DAD_AR.part_body_c,DAD_AR_Body_C,+Acc,,
Daedalus,Assault Rifle,5,Body Accessory,DAD_AR.part_body_d,DAD_AR_Body_D,No stat changes,,
Daedalus,Assault Rifle,6,Barrel,DAD_AR.part_barrel_01,DAD_AR_Barrel_01,"Spec-Tec Barrel, 571 Damage, 78% Acc, 6.8/s Fire Rate",,
Daedalus,Assault Rifle,7,Barrel,DAD_AR.part_barrel_02,DAD_AR_Barrel_02,"F.A.N.G. Barrel, 669 Damage, 84% Acc, 5.5/s Fire Rate",,
Daedalus,Assault Rifle,8,Barrel,DAD_AR.part_barrel_unique_om,DAD_AR_Barrel_01,"Oscar Mike Barrel, 509 Damage, 76% Acc, 6.8/s Fire Rate",Tactical Rounds - The first half of your Magazine deals +50% Bonus Damage,
Daedalus,Assault Rifle,9,Barrel Accessory,DAD_AR.part_barrel_01_a,DAD_AR_Barrel_01_A,+Damage,,
Daedalus,Assault Rifle,10,Barrel Accessory,DAD_AR.part_barrel_01_b,DAD_AR_Barrel_01_B,+Crit Damage,,
Daedalus,Assault Rifle,11,Barrel Accessory,DAD_AR.part_barrel_01_c,DAD_AR_Barrel_01_C,+Acc,,
Daedalus,Assault Rifle,12,Barrel Accessory,DAD_AR.part_barrel_01_d,DAD_AR_Barrel_01_D,+Acc,,
Daedalus,Assault Rifle,13,Barrel Accessory,DAD_AR.part_barrel_02_a,DAD_AR_Barrel_02_A,+Damage,,
Daedalus,Assault Rifle,14,Barrel Accessory,DAD_AR.part_barrel_02_b,DAD_AR_Barrel_02_B,+Acc,,
Daedalus,Assault Rifle,15,Barrel Accessory,DAD_AR.part_barrel_02_c,DAD_AR_Barrel_02_C,+Fire Rate,,
Daedalus,Assault Rifle,16,Barrel Accessory,DAD_AR.part_barrel_02_d,DAD_AR_Barrel_02_D,+Fire Rate,,
Daedalus,Assault Rifle,17,Manufacturer Part,DAD_AR.part_barrel_licensed_jak,DAD_AR_TopAcc_01,"Jakobs Ricochet, +Crit Damage",,
Daedalus,Assault Rifle,18,Manufacturer Part,DAD_AR.part_barrel_licensed_ted,DAD_AR_TopAcc_03 + 03_A,"Tediore Reload, no stat changes",,
Daedalus,Assault Rifle,20,Manufacturer Part,DAD_AR.part_barrel_licensed_ted_shooting,DAD_AR_TopAcc_03 + 03_A,"Tediore Shooting, no stat changes",,
Daedalus,Assault Rifle,21,Manufacturer Part,DAD_AR.part_barrel_licensed_ted_mirv,DAD_AR_TopAcc_03 + 03_B,"Tediore MIRV, no stat changes",,
Daedalus,Assault Rifle,22,Manufacturer Part,DAD_AR.part_barrel_licensed_ted_combo,DAD_AR_TopAcc_03 + 03_C,"Tediore Combo, no stat changes",,
Daedalus,Assault Rifle,23,Manufacturer Part,DAD_AR.part_barrel_licensed_hyp,DAD_AR_TopAcc_02,"Hyperion Shield visual accessory, no stat changes",,
Daedalus,Assault Rifle,24,Magazine,DAD_AR.part_mag_01,DAD_AR_Mag_01,"2.1s Reload, 28 shots",,
Daedalus,Assault Rifle,25,Magazine,DAD_AR.part_mag_02,DAD_AR_Mag_02,"2.6s Reload, 36 shots",,
Daedalus,Assault Rifle,26,Magazine,DAD_AR.part_mag_03_tor,DAD_AR_Mag_03,"2.0s Reload, +Damage, -Fire Rate, 20 shots, Torgue Mag",,
Daedalus,Assault Rifle,27,Magazine,DAD_AR.part_mag_04_cov,DAD_AR_Mag_04,"4.3s Reload, +Damage, -Acc, 50 shots to overheat, CoV Mag",,
Daedalus,Assault Rifle,28,Magazine,DAD_AR.part_mag_05_borg,DAD_AR_Mag_05,"3.0s Reload, +Damage, +Acc, +Fire Rate, 44 shots, Ripper Mag",,
Daedalus,Assault Rifle,29,Manufacturer Part,DAD_AR.part_mag_torgue_normal,No visual,Torgue Gyrojets,,
Daedalus,Assault Rifle,30,Stat Modifier,DAD_AR.part_mag_ted_thrown_01,No visual,2.0s Reload,,
Daedalus,Assault Rifle,31,Stat Modifier,DAD_AR.part_mag_ted_thrown_02,No visual,2.0s Reload,,
Daedalus,Assault Rifle,32,Manufacturer Part,DAD_AR.part_mag_torgue_sticky,No visual,Torgue Sticky Gyrojets,,
Daedalus,Assault Rifle,33,Stat Modifier,DAD_AR.part_mag_ted_thrown_03_tor,No visual,2.0s Reload,,
